Date,SPY
1996-12-05,45.2002
1996-12-06,44.9357
1996-12-09,45.5971
1996-12-10,45.3798
1996-12-11,44.964
1996-12-12,44.2176
1996-12-13,44.331
1996-12-16,43.7641
1996-12-17,44.1137
1996-12-18,44.4633
1996-12-19,45.3798
1996-12-20,45.4793
1996-12-23,45.3654
1996-12-24,45.6977
1996-12-26,46.049
1996-12-27,46.106
1996-12-30,45.7072
1996-12-31,44.8717
1997-01-02,44.9856
1997-01-03,45.6312
1997-01-06,45.2325
1997-01-07,45.7832
1997-01-08,45.3844
1997-01-09,45.7642
1997-01-10,46.2579
1997-01-13,46.1914
1997-01-14,46.7706
1997-01-15,46.6567
1997-01-16,46.8466
1997-01-17,47.1314
1997-01-20,47.1884
1997-01-21,47.5682
1997-01-22,47.91
1997-01-23,47.2453
1997-01-24,46.6377
1997-01-27,46.5048
1997-01-28,46.6377
1997-01-29,47.0934
1997-01-30,47.7011
1997-01-31,47.6441
1997-02-03,47.7865
1997-02-04,48.0809
1997-02-05,47.1789
1997-02-06,47.4922
1997-02-07,48.1378
1997-02-10,47.6821
1997-02-11,48.2328
1997-02-12,48.9164
1997-02-13,49.4481
1997-02-14,49.3342
1997-02-18,49.7519
1997-02-19,49.4196
1997-02-20,48.8214
1997-02-21,48.8404
1997-02-24,49.4196
1997-02-25,49.4576
1997-02-26,48.9734
1997-02-27,48.2423
1997-02-28,48.0999
1997-03-03,48.4227
1997-03-04,48.1568
1997-03-05,48.9734
1997-03-06,48.6885
1997-03-07,49.1253
1997-03-10,49.638
1997-03-11,49.3721
1997-03-12,48.9354
1997-03-13,48.1758
1997-03-14,48.4227
1997-03-17,48.5556
1997-03-18,48.0334
1997-03-19,47.872
1997-03-20,47.6251
1997-03-21,47.8456
1997-03-24,48.5128
1997-03-25,48.0362
1997-03-26,48.2459
1997-03-27,46.9688
1997-03-31,45.9013
1997-04-01,46.273
1997-04-02,45.4438
1997-04-03,45.6916
1997-04-04,46.2635
1997-04-07,46.4446
1997-04-08,46.7782
1997-04-09,46.3969
1997-04-10,46.2254
1997-04-11,44.7576
1997-04-14,45.358
1997-04-15,46.13
1997-04-16,46.6638
1997-04-17,46.4732
1997-04-18,46.7019
1997-04-21,46.3969
1997-04-22,47.4167
1997-04-23,47.4644
1997-04-24,47.2261
1997-04-25,46.6828
1997-04-28,47.1403
1997-04-29,48.6272
1997-04-30,48.8559
1997-05-01,48.7987
1997-05-02,49.6756
1997-05-05,50.8574
1997-05-06,50.8193
1997-05-07,49.7137
1997-05-08,50.0568
1997-05-09,50.3999
1997-05-12,51.2387
1997-05-13,51.029
1997-05-14,51.1243
1997-05-15,51.4674
1997-05-16,50.7621
1997-05-19,50.9146
1997-05-20,51.5246
1997-05-21,51.4102
1997-05-22,51.2387
1997-05-23,51.7152
1997-05-27,51.9249
1997-05-28,51.9154
1997-05-29,51.6104
1997-05-30,51.944
1997-06-02,51.7152
1997-06-03,51.5437
1997-06-04,51.4865
1997-06-05,51.6771
1997-06-06,52.6874
1997-06-09,52.9542
1997-06-10,53.1163
1997-06-11,53.2402
1997-06-12,54.2695
1997-06-13,54.727
1997-06-16,54.7461
1997-06-17,54.6698
1997-06-18,54.4792
1997-06-19,55.0415
1997-06-20,54.854
1997-06-23,53.524
1997-06-24,54.8827
1997-06-25,54.5
1997-06-26,54.2321
1997-06-27,54.4426
1997-06-30,54.079
1997-07-01,54.7105
1997-07-02,55.6099
