,Portfolio-Value-diff,Market-based-PnL,Summe Einzel-Tages-PnL,Abweichung (Portfolio vs Market),Abweichung (Portfolio vs Summe)
2023-12-21,2604.967130685778,2604.9671306857617,2604.9671306857613,1.6370904631912708e-11,1.6825651982799172e-11
2023-12-22,219.8115156403219,219.81151564034445,219.81151564034442,-2.2566837287740782e-11,-2.2538415578310378e-11
2023-12-25,0.0,0.0,0.0,0.0,0.0
2023-12-26,348.89544927480165,348.89544927480483,348.8954492748048,-3.183231456205249e-12,-3.126388037344441e-12
2023-12-27,1652.713359298883,1652.713359298906,1652.7133592989062,-2.2964741219766438e-11,-2.319211489520967e-11
2023-12-28,-144.69905387418112,-144.69905387419425,-144.69905387419425,1.3130829756846651e-11,1.3130829756846651e-11
2023-12-29,-1442.1038020846318,-1442.1038020846195,-1442.10380208462,-1.2278178473934531e-11,-1.1823431123048067e-11
2024-01-01,0.0,2479.6831799601205,2479.6831799601205,-2479.6831799601205,-2479.6831799601205
2024-01-02,-2693.018062236748,-2693.018062236834,-2693.018062236834,8.594724931754172e-11,8.594724931754172e-11
2024-01-03,-3011.5175040140166,-3011.517504013988,-3011.5175040139875,-2.864908310584724e-11,-2.9103830456733704e-11
2024-01-04,388.96407565512345,388.96407565515125,388.9640756551512,-2.779643182293512e-11,-2.773958840407431e-11
2024-01-05,789.090397796128,789.0903977961328,789.090397796133,-4.888534022029489e-12,-5.002220859751105e-12
2024-01-08,2976.276042808313,2976.276042808301,2976.2760428083006,1.1823431123048067e-11,1.2278178473934531e-11
2024-01-09,513.0662314696528,513.0662314696664,513.0662314696664,-1.3528733688872308e-11,-1.3528733688872308e-11
2024-01-10,2051.4664985413256,2051.466498541306,2051.4664985413065,1.9554136088117957e-11,1.9099388737231493e-11
2024-01-11,378.1163343482185,378.1163343481835,378.1163343481835,3.501554601825774e-11,3.501554601825774e-11
2024-01-12,-800.9759142043185,-800.9759142042544,-800.9759142042545,-6.411937647499144e-11,-6.400568963726982e-11
2024-01-15,0.0,0.0,0.0,0.0,0.0
2024-01-16,-939.1026182224741,-939.1026182224839,-939.102618222484,9.777068044058979e-12,9.890754881780595e-12
2024-01-17,-735.4583987641963,-735.4583987642122,-735.4583987642121,1.5916157281026244e-11,1.5802470443304628e-11
2024-01-18,3158.031001079973,3158.0310010799553,3158.0310010799553,1.77351466845721e-11,1.77351466845721e-11
2024-01-19,2336.5009126077057,2336.5009126077257,2336.5009126077257,-2.000888343900442e-11,-2.000888343900442e-11
2024-01-22,1041.505518457474,1041.5055184574462,1041.5055184574462,2.773958840407431e-11,2.773958840407431e-11
2024-01-23,-238.69138156124973,-238.6913815612488,-238.69138156124885,-9.379164112033322e-13,-8.810729923425242e-13
2024-01-24,-174.1707891949045,-174.17078919490007,-174.1707891949001,-4.433786671143025e-12,-4.405364961712621e-12
2024-01-25,1211.2802908952872,1211.280290895297,1211.280290895297,-9.777068044058979e-12,-9.777068044058979e-12
2024-01-26,551.4427174114098,551.4427174113828,551.4427174113828,2.7057467377744615e-11,2.7057467377744615e-11
2024-01-29,2588.1955349336786,2588.1955349336736,2588.1955349336736,5.002220859751105e-12,5.002220859751105e-12
2024-01-30,-18.23695557413157,-18.236955574090018,-18.236955574090018,-4.155253918725066e-11,-4.155253918725066e-11
2024-01-31,-3297.9447049299197,-3297.9447049299033,-3297.9447049299033,-1.6370904631912708e-11,-1.6370904631912708e-11
2024-02-01,4073.810216316837,13175.024794808793,13175.024794808793,-9101.214578491956,-9101.214578491956
2024-02-02,5133.117972184642,5133.117972184649,5133.117972184649,-7.275957614183426e-12,-7.275957614183426e-12
2024-02-05,-792.5405822286266,-792.5405822286453,-792.5405822286455,1.8758328224066645e-11,1.887201506178826e-11
2024-02-06,-136.52726829893072,-136.52726829889804,-136.52726829889798,-3.268496584496461e-11,-3.2741809263825417e-11
2024-02-07,4168.566209083074,4168.566209083055,4168.566209083055,1.9099388737231493e-11,1.9099388737231493e-11
2024-02-08,27.11363278637873,27.113632786356114,27.113632786356064,2.261657527924399e-11,2.2666313270747196e-11
2024-02-09,1503.6693862262473,1503.669386226295,1503.669386226295,-4.774847184307873e-11,-4.774847184307873e-11
