,AU,B,BAC,CDE,CLS,COHR,KGC,LITE,MU,NEM,RY,W,WDC
2025-10-31,68.0,32.7999992370605,53.4500007629395,17.1700000762939,344.480010986328,131.96,23.2399997711182,201.559997558594,223.770004272461,80.9700012207031,146.5,103.51000213623,150.210006713867
2025-11-03,67.0400009155273,33.060001373291,53.560001373291,15.1400003433228,349.010009765625,132.0,23.3999996185303,199.580001831055,234.699996948242,81.620002746582,147.410003662109,103.300003051758,158.020004272461
2025-11-04,63.6100006103516,31.6700000762939,53.5400009155273,13.8199996948242,335.790008544922,128.7,22.4699993133545,188.360000610352,218.029998779297,78.9000015258789,145.770004272461,99.4300003051758,152.179992675781
2025-11-05,67.0400009155273,32.7900009155273,52.4500007629395,14.1899995803833,352.609985351562,134.63,24.0699996948242,232.75,237.5,81.629997253418,145.660003662109,100.860000610352,160.100006103516
2025-11-06,67.8199996948242,32.5499992370605,53.2900009155273,14.4399995803833,340.760009765625,159.3,23.7700004577637,239.679992675781,238.330001831055,82.5299987792969,145.410003662109,98.6999969482422,163.600006103516
2025-11-07,69.4100036621094,33.0900001525879,53.2000007629395,14.6899995803833,322.100006103516,154.51,24.3299999237061,240.110000610352,237.919998168945,83.3899993896484,145.460006713867,106.879997253418,162.960006713867
2025-11-10,73.5749969482422,34.4700012207031,53.5,15.0100002288818,340.464996337891,166.72,25.125,266.779998779297,255.143997192383,87.0699996948242,146.399993896484,112.345001220703,171.960006713867
2025-11-11,79.3499984741211,35.810001373291,53.6300010681152,15.210000038147,331.859985351562,158.01,25.3500003814697,252.470001220703,241.110000610352,89.9499969482422,147.720001220703,110.540000915527,169.990005493164
2025-11-12,85.129997253418,37.3300018310547,54.1100006103516,15.6300001144409,334.570007324219,156.67,26.0300006866455,253.809997558594,244.899993896484,93.0699996948242,148.970001220703,111.720001220703,166.110000610352
2025-11-13,80.6999969482422,36.4199981689453,52.8699989318848,15.1099996566772,292.75,139.97,25.5100002288818,226.860000610352,236.949996948242,89.7200012207031,146.770004272461,106.48999786377,157.160003662109
2025-11-14,79.3899993896484,37.0299987792969,52.6100006103516,14.8100004196167,310.880004882812,139.33,25.4400005340576,232.149993896484,246.830001831055,87.8000030517578,146.559997558594,101.940002441406,157.830001831055
2025-11-17,77.76,36.96,51.48,14.46,309.37,139.07,24.94,242.07,241.95,87.09,147.13,99.53,162.45
2025-11-18,80.1,37.74,51.64,14.38,299.92,138.15,25.36,247.43,228.5,86.6,149.11,95.81,152.86
2025-11-19,82.24,37.73,52.02,14.7,312.48,142.94,25.56,268.92,225.92,87.51,148.27,97.94,153.97
2025-11-20,79.14,36.0,51.0,13.86,282.28,135.61,24.22,233.24,201.37,82.0,147.35,97.51,140.23
2025-11-21,79.81,36.55,51.56,13.99,280.06,139.51,24.39,255.59,207.37,83.49,149.99,105.04,139.19
2025-11-24,83.95,39.54,51.93,14.88,322.54,151.81,25.97,299.36,223.93,86.53,149.71,105.2,150.93
2025-11-25,84.36,39.12,52.48,15.07,327.75,148.85,26.09,291.27,224.53,86.27,152.22,109.79,155.41
2025-11-26,88.91,40.98,52.99,16.19,332.24,154.0,27.44,308.28,230.26,90.52,153.19,112.55,157.74
2025-11-28,85.68,41.34,53.65,17.27,344.41,164.26,28.11,325.16,236.48,90.73,154.09,110.8,163.33
2025-12-01,85.3,42.33,53.24,16.96,318.37,163.5,28.34,317.93,240.46,91.83,152.89,110.04,163.54
2025-12-02,83.86,41.03,53.19,16.55,304.29,164.89,27.49,302.81,239.49,90.48,154.43,101.41,159.99
2025-12-03,83.55,40.5,54.09,16.15,308.41,170.96,27.13,302.98,234.16,89.65,156.68,95.2,155.59
2025-12-04,83.38,40.91,54.16,16.1,322.79,177.35,27.34,327.85,226.65,90.72,160.56,94.51,161.0
